"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"GILD","Gilead Sciences, Inc.","64.85","$84.74B","1992","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/gild",
"GBCI","Glacier Bancorp, Inc.","32.88","$2.52B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/gbci",
"GLAD","Gladstone Capital Corporation","9.86","$251.61M","2001","n/a","n/a","http://www.nasdaq.com/symbol/glad",
"GLADO","Gladstone Capital Corporation","25.5745","$56.26M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/glado",
"GOOD","Gladstone Commercial Corporation","21.11","$531.88M","2003","Consumer Services","Real Estate","http://www.nasdaq.com/symbol/good",
"GOODM","Gladstone Commercial Corporation","25.67","n/a","n/a","Consumer Services","Real Estate","http://www.nasdaq.com/symbol/goodm",
"GOODO","Gladstone Commercial Corporation","25.59","$29.43M","n/a","Consumer Services","Real Estate","http://www.nasdaq.com/symbol/goodo",
"GOODP","Gladstone Commercial Corporation","25.6447","$25.64M","n/a","Consumer Services","Real Estate","http://www.nasdaq.com/symbol/goodp",
"GAIN","Gladstone Investment Corporation","9.25","$299.43M","2005","n/a","n/a","http://www.nasdaq.com/symbol/gain",
"GAINM","Gladstone Investment Corporation","25.75","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gainm",
"GAINN","Gladstone Investment Corporation","25.52","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gainn",
"GAINO","Gladstone Investment Corporation","25.6321","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gaino",
"LAND","Gladstone Land Corporation","11.27","$133.56M","1993","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/land",
"LANDP","Gladstone Land Corporation","25.94","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/landp",
"GLBZ","Glen Burnie Bancorp","10.95","$30.55M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/glbz",
"GBT","Global Blood Therapeutics, Inc.","29.35","$1.28B","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gbt",
"GLBR","Global Brokerage, Inc.","2.055","$12.62M","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/glbr",
